Atmosphere,Amount,,,,,,,,,,Ambience,Amount,True,False,None
'casual': False,20419,,,,casual,39005,17429,20419,1157,,casual,45858,20869,22785,2204
'casual': None,1157,,,,u'casual,6853,3440,2366,1047,,classy,43718,6233,33902,3583
'casual': True,17429,,,,classy,39005,5714,31536,1755,,divey,42502,1468,36803,4231
'classy': False,31536,,,,u'classy,4713,519,2366,1828,,hipster,43656,1118,38207,4331
'classy': None,1755,,,,divey,37897,1221,34324,2352,,intimate,43768,861,38625,4282
'classy': True,5714,,,,u'divey,4605,247,2479,1879,,romantic,43718,694,39698,3326
'divey': False,34324,,,,hipster,38943,855,35822,2266,,touristy,43718,317,39764,3637
'divey': None,2352,,,,u'hipster,4713,263,2385,2065,,trendy,43718,2508,35893,5317
'divey': True,1221,,,,intimate,39005,707,36081,2217,,upscale,43606,451,40361,2794
'hipster': False,35822,,,,u'intimate,4763,154,2544,2065,,None,551,,,
'hipster': None,2266,,,,romantic,39005,588,36747,1670,,Total,394813,34519,326038,33705
'hipster': True,855,,,,u'romantic,4713,106,2951,1656,,,,,,
'intimate': False,36081,,,,touristy,39005,215,36931,1859,,,,,,
'intimate': None,2217,,,,u'touristy,4713,102,2833,1778,,,,,,
'intimate': True,707,,,,trendy,39005,1896,34238,2871,,,,,,
None,551,,,,u'trendy,4713,612,1655,2446,,,,,,
'romantic': False,36747,,,,upscale,38893,387,37147,1359,,,,,,
'romantic': None,1670,,,,u'upscale,4713,64,3214,1435,,,,,,
'romantic': True,588,,,,None,551,,,,,,,,,
'touristy': False,36931,,,,Total,394813,34519,326038,33705,,,,,,
'touristy': None,1859,,,,,,,,,,,,,,
'touristy': True,215,,,,,,,,,,,,,,
'trendy': False,34238,,,,,,,,,,,,,,
'trendy': None,2871,,,,,,,,,,,,,,
'trendy': True,1896,,,,,,,,,,,,,,
u'casual': False,226,,,,,,,,,,,,,,
u'casual': None,1047,,,,,,,,,,,,,,
u'casual': True,3440,,,,,,,,,,,,,,
u'classy': False,2366,,,,,,,,,,,,,,
u'classy': None,1828,,,,,,,,,,,,,,
u'classy': True,519,,,,,,,,,,,,,,
u'divey': False,2479,,,,,,,,,,,,,,
u'divey': None,1879,,,,,,,,,,,,,,
u'divey': True,247,,,,,,,,,,,,,,
u'hipster': False,2385,,,,,,,,,,,,,,
u'hipster': None,2065,,,,,,,,,,,,,,
u'hipster': True,263,,,,,,,,,,,,,,
u'intimate': False,2544,,,,,,,,,,,,,,
u'intimate': None,2015,,,,,,,,,,,,,,
u'intimate': True,154,,,,,,,,,,,,,,
'upscale': False,37147,,,,,,,,,,,,,,
'upscale': None,1359,,,,,,,,,,,,,,
'upscale': True,387,,,,,,,,,,,,,,
u'romantic': False,2951,,,,,,,,,,,,,,
u'romantic': None,1656,,,,,,,,,,,,,,
u'romantic': True,106,,,,,,,,,,,,,,
u'touristy': False,2833,,,,,,,,,,,,,,
u'touristy': None,1778,,,,,,,,,,,,,,
u'touristy': True,102,,,,,,,,,,,,,,
u'trendy': False,1655,,,,,,,,,,,,,,
u'trendy': None,2446,,,,,,,,,,,,,,
u'trendy': True,612,,,,,,,,,,,,,,
u'upscale': False,3214,,,,,,,,,,,,,,
u'upscale': None,1435,,,,,,,,,,,,,,
u'upscale': True,64,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,
