Atmosphere;Amount;;;HairSpecializesIn;Amount;True;False
africanamerican': False;579;;;africanamerican;867;288;579
'africanamerican': True;288;;;u'africanamerican;135;16;119
asian': False;489;;;asian;867;378;489
'asian': True;378;;;u'asian;135;28;107
coloring': False;194;;;coloring;900;706;194
'coloring': True;706;;;u'coloring;135;116;19
'curly': False;275;;;curly;900;625;275
curly': True;625;;;u'curly;135;109;26
'extensions': False;397;;;extensions;900;503;397
extensions': True;503;;;u'extensions;135;97;38
kids': False;477;;;kids;900;423;477
'kids': True;423;;;u'kids;135;91;44
None;30;;;perms;900;376;524
perms': False;524;;;u'perms;135;87;48
'perms': True;376;;;straightperms;867;307;560
straightperms': False;560;;;u'straightperms;135;115;20
'straightperms': True;307;;;None;30;;
u'africanamerican': False;119;;;Total;8211;4265;3916
u'africanamerican': True;16;;;;;;
u'asian': False;107;;;;;;
u'asian': True;28;;;;;;
u'coloring': False;19;;;;;;
u'coloring': True;116;;;;;;
u'curly': False;26;;;;;;
u'curly': True;109;;;;;;
u'extensions': False;38;;;;;;
u'extensions': True;97;;;;;;
u'kids': False;44;;;;;;
u'kids': True;91;;;;;;
u'perms': False;48;;;;;;
u'perms': True;87;;;;;;
u'straightperms': False;115;;;;;;
u'straightperms': True;20;;;;;;
